classe,volume,quantidadeCobre,quantidadeFerro,quantidadeFAD,quantidadeNAD,quantidadeFolhas,quantidadeOutrasEstruturas,quantidadeHelices,'\% G','\% K','\% L','\% P','\% T','Desc. Local. \% Hidrofobico','Desc. Local. \% Neutro',csm1,Emboss1,Emboss2,Emboss23,Emboss24,Emboss25,Emboss26,Emboss27,Emboss29,Emboss30,Emboss31,Domain_IPR003595,Domain_IPR011009
HIDROLASES,22479.9,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.079268,0.292683,0.335366,10705,18615.38,10.3151,27.439,48.171,31.098,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22503.8,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.097561,0.018293,0.073171,0.29878,0.329268,10729,18613.41,10.3151,26.829,48.171,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10713,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10660,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10645,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10717,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10712,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22453.2,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10721,18617.36,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22428.9,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.079268,0.286585,0.341463,10732,18603.33,10.3151,28.049,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22428.9,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.079268,0.286585,0.341463,10725,18603.33,10.3151,28.049,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22428.9,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.079268,0.286585,0.341463,10670,18603.33,10.3151,28.049,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22480.3,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.079268,0.292683,0.335366,10716,18631.38,10.3151,27.439,48.171,30.488,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,17254.1,0,0,0,0,0.107692,0.5,0.392308,0.084615,0.038462,0.061538,0.015385,0.038462,0.3,0.353846,7798,14681.62,8.9384,33.846,56.154,27.692,11.538,55.385,23.846,15.385,8.462,0,0
HIDROLASES,17239.3,0,0,0,0,0.107692,0.5,0.392308,0.084615,0.038462,0.061538,0.015385,0.038462,0.3,0.346154,7830,14673.6,8.7494,33.846,56.154,27.692,10.769,55.385,23.846,14.615,9.231,0,0
HIDROLASES,22553.7,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.097561,0.018293,0.073171,0.29878,0.329268,10705,18661.46,10.3151,26.829,47.561,31.098,9.756,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22472.7,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.29878,0.329268,10721,18633.42,10.203,27.439,48.171,30.488,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22467.1,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.304878,0.329268,10701,18622.45,10.0829,28.049,48.171,30.488,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22425.8,0,0,0,0,0.085366,0.256098,0.658537,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10712,18585.37,10.3151,27.439,48.171,31.098,8.537,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22475.7,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.091463,0.018293,0.073171,0.292683,0.335366,10705,18633.42,10.3151,27.439,47.561,30.488,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22324.8,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.091463,0.018293,0.073171,0.286585,0.341463,10719,18511.23,10.3151,28.049,49.39,31.707,8.537,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22399.1,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.091463,0.018293,0.073171,0.292683,0.335366,10733,18571.35,10.3151,27.439,48.78,31.098,8.537,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22565,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.091463,0.018293,0.073171,0.29878,0.329268,10702,18700.51,10.3151,26.829,47.561,30.488,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22588.2,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.085366,0.018293,0.073171,0.29878,0.329268,10751,18734.53,10.3151,26.829,47.561,29.878,9.756,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22587.9,0,0,0,0,0.085366,0.256098,0.658537,0.067073,0.079268,0.091463,0.018293,0.073171,0.29878,0.329268,10705,18732.57,10.3151,26.829,46.951,29.878,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22399.1,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.091463,0.018293,0.073171,0.292683,0.335366,10733,18571.35,10.3151,27.439,48.78,31.098,8.537,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22465.1,0,0,0,0,0.054878,0.29878,0.646341,0.067073,0.079268,0.103659,0.018293,0.067073,0.304878,0.323171,10878,18635.45,10.0829,27.439,48.171,30.488,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22333.1,0,0,0,0,0.079268,0.402439,0.518293,0.067073,0.073171,0.097561,0.012195,0.060976,0.304878,0.329268,10403,18506.29,9.9653,28.659,48.78,32.927,9.146,53.659,26.829,15.854,10.976,0,0
HIDROLASES,22282.9,0,0,0,0,0.085366,0.286585,0.628049,0.067073,0.079268,0.091463,0.018293,0.060976,0.310976,0.317073,11225,18607.42,9.4634,29.268,50,28.659,9.146,52.439,27.439,16.463,10.976,0,0
HIDROLASES,24308.5,0,0,0,0,0.021622,0.421622,0.556757,0.113514,0.097297,0.037838,0.021622,0.07027,0.243243,0.416216,15561,20373.09,9.9693,34.054,52.973,25.405,10.811,50.811,27.027,17.838,9.189,0,0
HIDROLASES,22424.9,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.067073,0.292683,0.335366,10714,18555.33,10.3151,27.439,48.171,32.317,9.146,52.439,27.439,16.463,10.976,0,0
HIDROLASES,22340.5,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.067073,0.292683,0.341463,10725,18486.22,10.2012,28.049,48.78,32.317,9.146,52.439,26.829,15.854,10.976,0,0
HIDROLASES,22129.9,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.067073,0.286585,0.365854,10699,18252.98,10.2012,30.488,50.61,35.366,9.146,54.878,26.829,15.854,10.976,0,0
HIDROLASES,22367.6,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10712,18500.25,10.2012,28.049,48.78,32.317,9.146,52.439,26.829,15.854,10.976,0,0
HIDROLASES,22312.8,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.347561,10726,18459.2,10.2012,28.659,49.39,32.317,9.146,52.439,26.829,15.854,10.976,0,0
HIDROLASES,22378.5,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.073171,0.286585,0.341463,10726,18541.24,10.3151,28.049,48.78,31.707,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22427.3,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10704,18558.33,10.3151,28.049,48.171,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22397.6,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10711,18544.31,10.3151,28.049,48.78,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22397.6,0,0,0,0,0.073171,0.280488,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10719,18544.31,10.3151,28.049,48.78,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22368,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10726,18516.25,10.2012,28.049,48.78,31.707,9.146,51.829,26.829,15.854,10.976,0,0
HIDROLASES,22452.4,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10696,18585.36,10.3151,27.439,48.171,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22425.3,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.067073,0.292683,0.335366,10714,18571.33,10.3151,27.439,48.171,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22298.1,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.091463,0.018293,0.073171,0.29878,0.329268,11017,18603.36,9.8064,29.268,50,28.659,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22173.2,0,0,0,0,0.085366,0.292683,0.621951,0.067073,0.073171,0.097561,0.018293,0.067073,0.29878,0.353659,10657,18348.13,9.9657,30.488,50,33.537,9.146,54.878,25.61,15.244,10.366,0,0
HIDROLASES,21987.5,0,0,0,0,0.079268,0.292683,0.628049,0.067073,0.073171,0.097561,0.018293,0.067073,0.29878,0.365854,10281,18155.96,10.0317,32.317,51.22,35.366,8.537,56.098,25.61,15.244,10.366,0,0
HIDROLASES,22446,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.067073,0.29878,0.329268,11067,18635.39,10.203,27.439,48.171,29.878,9.146,50.61,27.439,16.463,10.976,0,0
HIDROLASES,22406.9,0,0,0,0,0.085366,0.286585,0.628049,0.067073,0.079268,0.097561,0.018293,0.067073,0.304878,0.323171,10498,18625.43,9.9519,28.049,48.78,29.878,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22339.5,0,0,0,0,0.085366,0.286585,0.628049,0.067073,0.060976,0.097561,0.018293,0.067073,0.304878,0.323171,10362,18611.2,7.2552,27.439,48.171,30.488,9.146,51.829,27.439,14.024,13.415,0,0
HIDROLASES,22164.7,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.067073,0.097561,0.012195,0.067073,0.292683,0.359756,10496,18282.04,10.2522,30.488,50,36.585,9.146,56.098,25.61,15.244,10.366,0,0
HIDROLASES,22368,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.341463,10642,18516.25,10.2012,28.049,48.78,31.707,9.146,51.829,26.829,15.854,10.976,0,0
HIDROLASES,22343,0,0,0,0,0.079268,0.292683,0.628049,0.073171,0.079268,0.085366,0.012195,0.073171,0.286585,0.329268,10892,18576.22,10.2006,27.439,49.39,30.488,9.146,50.61,28.049,16.463,11.585,0,0
HIDROLASES,22385.3,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.097561,0.018293,0.073171,0.304878,0.335366,10324,18536.36,10.0834,28.659,48.78,31.098,9.146,52.439,26.22,15.854,10.366,0,0
HIDROLASES,22475.1,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.067073,0.292683,0.329268,10751,18629.37,10.2006,26.829,47.561,31.098,9.146,51.22,28.049,16.463,11.585,0,0
HIDROLASES,22505.3,0,0,0,0,0.085366,0.292683,0.621951,0.067073,0.079268,0.103659,0.02439,0.067073,0.304878,0.317073,10759,18691.47,9.602,26.22,48.171,29.878,9.146,51.829,29.268,16.463,12.805,0,0
HIDROLASES,22236,0,0,0,0,0.085366,0.286585,0.628049,0.067073,0.079268,0.097561,0.018293,0.067073,0.292683,0.359756,10673,18392.23,10.2053,31.098,48.78,32.927,9.146,54.268,26.829,16.463,10.366,0,0
HIDROLASES,22125.4,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.073171,0.097561,0.018293,0.073171,0.286585,0.384146,10760,18210.07,10.6682,32.317,50,35.976,9.146,56.098,24.39,15.854,8.537,0,0
HIDROLASES,22530.9,0,0,0,0,0.085366,0.256098,0.658537,0.067073,0.079268,0.103659,0.018293,0.073171,0.29878,0.329268,10721,18643.44,10.3151,26.829,47.561,31.098,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22527.1,0,0,0,0,0.085366,0.262195,0.652439,0.067073,0.079268,0.097561,0.018293,0.073171,0.29878,0.329268,10726,18661.47,10.3151,26.829,47.561,30.488,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22425.8,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10767,18585.37,10.3151,27.439,48.171,31.098,8.537,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22452.8,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10728,18601.36,10.3151,27.439,48.171,31.098,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22449,0,0,0,0,0.085366,0.256098,0.658537,0.067073,0.079268,0.091463,0.018293,0.073171,0.292683,0.335366,10716,18619.39,10.3151,27.439,48.171,30.488,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22720.1,0,0,0,0,0,0.26506,0.73494,0.048193,0.114458,0.066265,0.03012,0.03012,0.210843,0.379518,7703,19028.5,8.8576,26.506,45.181,28.313,12.048,50,35.542,19.277,16.265,0,0
HIDROLASES,16043.4,0,0,0,0,0,0.565574,0.434426,0.106557,0.07377,0.040984,0.016393,0.065574,0.286885,0.352459,6871,13854.52,5.2159,36.066,54.098,13.934,13.934,52.459,27.049,13.115,13.934,0,0
HIDROLASES,45666.2,0,0,0,0,0.212034,0.404011,0.383954,0.077364,0.045845,0.091691,0.060172,0.04298,0.329513,0.404011,39447,37551.84,8.6988,30.946,52.149,35.53,6.304,59.312,23.496,13.467,10.029,0,0
HIDROLASES,15882.4,0,0,0,0,0.330645,0.459677,0.209677,0.024194,0.080645,0.016129,0.032258,0.080645,0.217742,0.451613,6960,13626.17,8.5871,38.71,61.29,22.581,10.484,43.548,22.581,14.516,8.065,0,0
HIDROLASES,50338.2,0,0,0,0,0.248691,0.395288,0.356021,0.08377,0.060209,0.073298,0.044503,0.034031,0.301047,0.348168,38666,42447.74,5.0219,27.487,52.618,25.654,9.948,50.785,30.105,14.398,15.707,0,0
HIDROLASES,57877,0,0,0,0.002315,0.159722,0.402778,0.4375,0.085648,0.06713,0.087963,0.037037,0.055556,0.333333,0.361111,48233,47715.09,6.4368,28.704,50.231,32.407,9.954,58.102,25.231,13.194,12.037,0,0
HIDROLASES,30569.6,0,0,0,0,0.314655,0.413793,0.271552,0.090517,0.060345,0.081897,0.047414,0.081897,0.310345,0.413793,21502,25363.73,5.4978,30.603,55.172,28.879,11.207,54.31,20.69,10.345,10.345,0,0
HIDROLASES,62369.7,0,0,0,0,0.422566,0.493363,0.084071,0.057522,0.073009,0.097345,0.030973,0.04646,0.325221,0.329646,50660,51770.69,6.8774,23.009,50,28.319,13.496,51.549,23.673,12.389,11.283,0,0
HIDROLASES,29888.7,0,0,0,0,0.21267,0.348416,0.438914,0.040724,0.049774,0.104072,0.036199,0.090498,0.325792,0.371041,16609,24649.37,7.3241,28.507,49.321,33.484,9.05,50.226,26.244,14.932,11.312,0,0
HIDROLASES,29933.4,0,0,0,0,0.208145,0.352941,0.438914,0.040724,0.049774,0.104072,0.036199,0.090498,0.321267,0.375566,16633,24683.37,7.3936,28.054,48.869,33.484,9.502,49.774,26.697,15.385,11.312,0,0
HIDROLASES,33493.7,0,0,0,0,0.199203,0.426295,0.374502,0.055777,0.011952,0.083665,0.051793,0.075697,0.290837,0.394422,23681,28098.42,4.936,29.084,52.59,29.482,10.757,50.598,21.912,10.359,11.554,0,0
HIDROLASES,13995.2,0,0,0,0,0.212963,0.759259,0.027778,0.055556,0.018519,0.055556,0.046296,0.166667,0.259259,0.5,5336,11879.92,3.6652,41.667,63.889,25,12.037,49.074,20.37,4.63,15.741,0,0
HIDROLASES,15846.7,0,0,0,0,0.067227,0.436975,0.495798,0.084034,0.092437,0.033613,0.042017,0.02521,0.294118,0.361345,6376,13593.43,7.7228,32.773,55.462,17.647,16.807,57.983,27.731,15.966,11.765,0,0
HIDROLASES,33262,0,0,0,0,0.085366,0.27439,0.640244,0.056911,0.04065,0.113821,0.044715,0.065041,0.308943,0.394309,23053,27368.36,9.6493,28.862,50.407,34.959,10.163,55.691,19.919,11.382,8.537,0,0
HIDROLASES,26882.9,0,0,0,0,0.085366,0.27439,0.640244,0.106977,0.023256,0.051163,0.037209,0.065116,0.302326,0.469767,19378,22646.19,4.116,41.86,64.186,31.163,10.698,60,15.814,5.581,10.233,0,0
HIDROLASES,56130.1,0,0,0,0,0.085366,0.280488,0.634146,0.10245,0.062361,0.08686,0.046771,0.089087,0.224944,0.476615,54062,46986.55,5.45,39.198,59.465,31.626,7.127,54.12,22.94,11.359,11.581,0,0
HIDROLASES,28287.7,0,0,0,0,0.085366,0.268293,0.646341,0.121495,0.065421,0.046729,0.03271,0.088785,0.257009,0.46729,18834,23915.33,5.619,34.579,57.477,19.159,19.626,54.673,18.692,9.346,9.346,0,0
HIDROLASES,55816.9,0,0,0,0,0.195067,0.482063,0.32287,0.100897,0.06278,0.087444,0.044843,0.087444,0.226457,0.473094,57336,46716.26,5.629,39.013,59.417,31.839,7.175,54.036,22.87,11.435,11.435,0,0
HIDROLASES,56147.4,0,0,0,0,0.184855,0.496659,0.318486,0.100223,0.062361,0.08686,0.046771,0.089087,0.224944,0.47216,57138,47020.56,5.2968,38.976,59.688,31.626,6.904,53.898,22.717,11.136,11.581,0,0
HIDROLASES,36047.7,0,0,0,0,0.180451,0.409774,0.409774,0.048872,0.165414,0.082707,0.033835,0.048872,0.255639,0.345865,25996,29596.07,10.1538,25.564,50,29.699,8.271,46.992,30.827,18.797,12.03,0,0
HIDROLASES,28365,0,0,0,0,0.32287,0.573991,0.103139,0.103139,0.040359,0.085202,0.053812,0.035874,0.331839,0.394619,20948,23769.9,4.9089,34.081,61.435,30.045,8.969,59.193,16.143,7.623,8.52,0,0
HIDROLASES,28466.7,0,0,0,0,0.32287,0.578475,0.098655,0.103139,0.044843,0.085202,0.053812,0.035874,0.331839,0.38565,21214,23839,4.9281,33.184,60.987,30.045,8.969,59.193,17.04,8.072,8.969,0,0
HIDROLASES,55846,0,0,0,0,0.179372,0.502242,0.318386,0.100897,0.060538,0.087444,0.044843,0.087444,0.226457,0.477578,57175,46747.28,5.9351,39.013,59.193,31.839,7.623,54.036,22.87,11.659,11.211,0,0
HIDROLASES,15711.9,0,0,0,0,0.065574,0.385246,0.54918,0.090164,0.032787,0.040984,0.008197,0.057377,0.278689,0.377049,6876,13649.03,4.2386,38.525,58.197,20.492,13.115,54.098,25.41,9.836,15.574,0,0
HIDROLASES,18046.9,0,0,0,0,0.361702,0.411348,0.22695,0.106383,0.056738,0.021277,0.042553,0.078014,0.283688,0.460993,9044,15068.13,7.9625,38.298,57.447,28.369,12.057,58.156,20.567,12.057,8.511,0,0
HIDROLASES,16581.7,0,0,0,0,0.062016,0.527132,0.410853,0.085271,0.046512,0.062016,0.015504,0.054264,0.302326,0.356589,7476,14373.99,9.483,37.209,59.69,24.806,10.078,51.938,20.155,13.953,6.202,0,0
HIDROLASES,34255.3,0,0,0,0,0.085366,0.27439,0.640244,0.061475,0.098361,0.057377,0.036885,0.057377,0.266393,0.360656,12899,28489.15,9.2778,22.541,44.262,24.59,15.984,48.77,28.689,16.393,12.295,0,0
HIDROLASES,4221,0,0,0,0,0.085366,0.268293,0.646341,0.166667,0,0.055556,0.055556,0.111111,0.25,0.611111,342378,3653.05,7.118,55.556,69.444,19.444,11.111,61.111,2.778,2.778,0,0,0
HIDROLASES,4221,0,0,0,0,0.194444,0.805556,0,0.166667,0,0.055556,0.055556,0.111111,0.25,0.611111,209628,3653.05,7.118,55.556,69.444,19.444,11.111,61.111,2.778,2.778,0,0,0
HIDROLASES,16470.7,0,0,0,0,0.308943,0.439024,0.252033,0.065041,0.056911,0.04878,0.065041,0.056911,0.252033,0.382114,6739,14076.91,10.0926,29.268,52.033,19.512,12.195,46.341,28.455,20.325,8.13,0,0
HIDROLASES,89608.2,0,0.002903,0,0,0.179971,0.471698,0.348331,0.07402,0.068215,0.088534,0.050798,0.044993,0.28447,0.390421,89412,75278.27,7.8427,34.543,56.168,28.157,9.869,54.427,24.673,13.498,11.176,0,0
HIDROLASES,67215,0,0,0,0,0.102,0.526,0.372,0.092,0.042,0.078,0.068,0.036,0.292,0.394,68120,56255.57,6.0288,25.8,50.6,26.8,14.4,58.2,24.2,12.4,11.8,0,0
HIDROLASES,14638.6,0,0,0,0,0.227273,0.545455,0.227273,0.090909,0.072727,0.063636,0.027273,0.081818,0.236364,0.445455,5562,12313.64,8.7883,33.636,53.636,24.545,14.545,49.091,24.545,13.636,10.909,0,0
HIDROLASES,14643,0,0,0,0,0.227273,0.554545,0.218182,0.090909,0.063636,0.063636,0.027273,0.081818,0.236364,0.445455,5646,12325.66,8.7947,33.636,53.636,25.455,14.545,50,24.545,13.636,10.909,0,0
HIDROLASES,66147.7,0,0,0,0,0.085366,0.280488,0.634146,0.100806,0.044355,0.050403,0.046371,0.042339,0.306452,0.372984,64024,55887.55,6.882,28.427,55.645,23.387,15.121,55.04,22.984,12.298,10.685,0,0
HIDROLASES,57650.2,0,0,0,0.00232,0.085366,0.280488,0.634146,0.085847,0.069606,0.090487,0.037123,0.053364,0.338747,0.361949,47593,47406.83,6.508,28.538,50.348,33.411,10.209,58.469,25.754,13.689,12.065,0,0
HIDROLASES,14658.4,0,0,0,0,0.085366,0.268293,0.646341,0.090909,0.072727,0.063636,0.027273,0.081818,0.236364,0.436364,5656,12316.69,9.2859,33.636,53.636,25.455,13.636,50,24.545,13.636,10.909,0,0
HIDROLASES,17273.9,0,0,0,0,0.085366,0.27439,0.640244,0.084615,0.038462,0.061538,0.015385,0.038462,0.3,0.346154,7778,14684.67,9.1424,33.846,56.154,28.462,10.769,56.154,23.846,15.385,8.462,0,0
HIDROLASES,62772.4,0,0,0,0,0.186192,0.577406,0.236402,0.087866,0.09205,0.060669,0.048117,0.058577,0.253138,0.372385,40277,52891.57,5.5737,30.126,52.51,24.895,8.577,49.791,33.682,16.736,16.946,0,0
HIDROLASES,27050.8,0,0,0,0,0.248705,0.388601,0.362694,0.082902,0.108808,0.062176,0.025907,0.046632,0.321244,0.290155,13270,22202.47,5.2319,22.28,38.86,26.943,12.435,51.813,32.124,15.544,16.58,0,0
HIDROLASES,57422.1,0,0,0,0,0.178571,0.419048,0.402381,0.069048,0.071429,0.119048,0.035714,0.040476,0.295238,0.354762,39094,47503.53,9.7387,27.857,43.333,31.429,9.524,52.143,30,17.143,12.857,0,0
HIDROLASES,17352.4,0,0,0,0,0.076923,0.530769,0.392308,0.084615,0.038462,0.069231,0.015385,0.038462,0.307692,0.338462,7788,14742.75,9.1424,33.077,55.385,27.692,10.769,55.385,23.846,15.385,8.462,0,0
HIDROLASES,17302.6,0,0,0,0,0.076923,0.530769,0.392308,0.084615,0.038462,0.069231,0.015385,0.038462,0.307692,0.346154,7793,14684.71,9.3623,33.846,56.154,28.462,10.769,56.154,23.077,15.385,7.692,0,0
